model,lower,median,upper
bq,95.05613309082594,95.26712274862398,95.47231641435843
bqp,95.07144563625573,95.2821226235435,95.487001698848
exp,87.75234837125636,88.07273181802665,88.38823032137809
expA,85.94236501868001,86.42223740500785,86.89276432021703
expB,89.29638506815026,89.72275569642616,90.13893304377149
gs,99.68659738090317,99.97157939727227,99.99993863987704
hc,59.223639812566645,59.70491912454633,60.184955782502584
oc,99.9937203786916,99.99943133464213,99.99999877242128
th,99.9937203786916,99.99943133464213,99.99999877242128
