model,upper,median,lower
bq,20.5903817131299,20.505003432654906,20.417755071580032
bqp,20.595606294008334,20.501546719116927,20.408970105581982
exp,1992.09184360379,1981.122790657326,1969.3568790379427
expA,2065.2936711624666,2046.4937182436586,2028.6195593575121
expB,1936.0137180172792,1921.6702540754793,1905.2730739423205
gs,722.0000000000003,722.0000000000003,722.0000000000003
hc,16.79234791928302,16.700774055291213,16.622323562999938
oc,6.149473871812623,6.054332967149551,5.960823882639809
th,7.966355643749483,7.816962366326654,7.685762943334332
