model,flipped,lower,median,upper
bq,flipped,-0.5975501295635275,-0.5083236893848637,-0.4118056501581683
bq,same,-0.5842930414534908,-0.4948060145440012,-0.39438481886124116
bqp,flipped,-0.6446171451573399,-0.5597193101658589,-0.465075097125464
bqp,same,-0.600564334159404,-0.5106867221686573,-0.4114104793173786
exp,flipped,-0.4592502061176139,-0.36396155141438113,-0.26181986350735953
exp,same,-0.8116970573526856,-0.7697288667847904,-0.7191999626776412
hc,flipped,-0.5924512016805797,-0.49260603357922494,-0.38405018450770545
hc,same,-0.5963306374718942,-0.4971910284626258,-0.38879535221025296
oc,flipped,-0.17429812008820875,0.0,0.16909773732835687
oc,same,-0.16914296998913148,0.0,0.1677498292636006
th,flipped,-0.174283155923443,0.0,0.16911114947751166
th,same,-0.16908698924558563,0.0,0.16908909895305407
